                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                0.97768,                0.78046,                 1.3589,                 1.0508,                0.83918,                 1.3707,                0.82351,                0.79044,                0.86855,                0.62662,                 0.9922,                0.73756,                 1.3657,                 1.0215,                0.75267,                 1.3746,               0.003664,               0.003664,               0.003664
                     67,                0.97428,                0.77804,                  1.357,                 1.0466,                0.84272,                 1.3724,                0.82739,                0.78978,                0.86884,                0.62689,                0.99132,                0.73574,                 1.3647,                 1.0216,                0.74995,                  1.374,               0.003565,               0.003565,               0.003565
                     68,                0.97197,                0.77083,                 1.3548,                 1.0441,                0.83171,                 1.3676,                0.82591,                0.79116,                0.86913,                0.62722,                0.99081,                0.73367,                 1.3642,                 1.0203,                0.74886,                 1.3724,               0.003466,               0.003466,               0.003466
                     69,                0.96421,                0.76285,                 1.3498,                 1.0354,                0.81901,                 1.3623,                0.82948,                0.78808,                0.86975,                0.62803,                0.99018,                0.73193,                 1.3634,                   1.02,                0.74551,                 1.3716,               0.003367,               0.003367,               0.003367
                     70,                0.96285,                0.75824,                 1.3443,                 1.0311,                0.81739,                  1.358,                0.82752,                0.79311,                0.87021,                0.62874,                0.98962,                0.73031,                 1.3625,                 1.0202,                0.74159,                 1.3715,               0.003268,               0.003268,               0.003268
                     71,                 0.9603,                0.75566,                 1.3476,                 1.0295,                0.81859,                 1.3589,                0.82775,                0.79214,                0.87118,                0.62957,                0.98882,                0.72868,                 1.3616,                 1.0194,                0.73933,                 1.3715,               0.003169,               0.003169,               0.003169
                     72,                 0.9484,                0.74302,                 1.3362,                 1.0211,                0.79686,                 1.3498,                0.82217,                 0.7963,                0.87127,                0.63005,                0.98852,                 0.7266,                 1.3613,                 1.0189,                0.73801,                 1.3707,                0.00307,                0.00307,                0.00307
                     73,                0.94738,                 0.7418,                 1.3365,                 1.0177,                0.79717,                 1.3499,                 0.8278,                0.79147,                0.87174,                0.63104,                0.98789,                0.72485,                 1.3607,                 1.0184,                0.73512,                 1.3703,               0.002971,               0.002971,               0.002971
                     74,                0.94205,                0.73627,                  1.333,                 1.0112,                0.79858,                 1.3438,                0.82722,                0.79293,                0.87188,                0.63165,                0.98758,                0.72308,                 1.3602,                  1.018,                0.73279,                   1.37,               0.002872,               0.002872,               0.002872
                     75,                0.93562,                0.73098,                 1.3276,                 1.0049,                0.78864,                 1.3381,                0.83129,                0.78954,                0.87312,                0.63316,                0.98681,                0.72187,                 1.3593,                 1.0177,                0.72962,                 1.3698,               0.002773,               0.002773,               0.002773
                     76,                0.93815,                0.72792,                 1.3274,                 1.0074,                0.78862,                 1.3385,                0.83174,                0.78829,                0.87333,                0.63381,                0.98633,                0.72038,                 1.3589,                 1.0175,                0.72764,                 1.3693,               0.002674,               0.002674,               0.002674
                     77,                0.92415,                0.71618,                 1.3195,                0.99539,                0.77114,                 1.3337,                0.83213,                0.78855,                0.87321,                0.63391,                0.98579,                0.71885,                 1.3583,                 1.0181,                0.72524,                 1.3695,               0.002575,               0.002575,               0.002575
                     78,                0.92149,                0.71383,                 1.3153,                0.99026,                0.77039,                 1.3282,                0.83296,                0.79184,                0.87341,                0.63463,                0.98516,                0.71735,                 1.3575,                 1.0174,                0.72381,                 1.3689,               0.002476,               0.002476,               0.002476
                     79,                0.91694,                 0.7069,                 1.3131,                0.98637,                0.75854,                 1.3262,                0.83064,                0.79306,                0.87312,                 0.6348,                0.98487,                 0.7158,                 1.3571,                 1.0171,                0.72266,                 1.3686,               0.002377,               0.002377,               0.002377
                     80,                0.91464,                0.69537,                 1.3064,                0.98165,                0.74899,                 1.3182,                0.82975,                0.79544,                0.87331,                0.63523,                0.98488,                0.71466,                  1.357,                 1.0171,                0.72131,                 1.3678,               0.002278,               0.002278,               0.002278
                     81,                0.90866,                0.69574,                 1.3052,                0.97781,                0.74593,                 1.3171,                0.83399,                0.79078,                0.87386,                0.63579,                0.98458,                0.71311,                 1.3565,                 1.0167,                0.72012,                 1.3677,               0.002179,               0.002179,               0.002179
                     82,                0.90508,                0.69168,                 1.3035,                0.97548,                0.74184,                 1.3185,                0.83588,                0.79027,                0.87394,                0.63588,                0.98452,                0.71189,                 1.3563,                 1.0165,                0.71934,                 1.3679,                0.00208,                0.00208,                0.00208
                     83,                0.89743,                0.68456,                  1.299,                0.96811,                0.73755,                 1.3138,                0.83566,                0.79147,                0.87362,                0.63616,                0.98447,                0.71064,                 1.3564,                 1.0171,                0.71705,                  1.369,               0.001981,               0.001981,               0.001981
                     84,                0.88933,                0.67614,                  1.292,                0.95585,                0.72808,                 1.3043,                0.83104,                0.79457,                0.87407,                0.63661,                0.98439,                0.70943,                 1.3563,                 1.0171,                 0.7159,                 1.3687,               0.001882,               0.001882,               0.001882
